ticker,open,close,adj_close,low,high,volume,date
APO,17.68000031,17.56999969,11.967906,17.53000069,17.96999931,205900,24/05/2011
AHH,9.470000267,9.479999542,7.109481335,9.390000343,9.619999886,80800,18/12/2013
APO,17.60000038,17.37000084,11.83167362,17.26000023,17.70999908,285000,25/05/2011
AHH,9.340000153,9.31000042,6.981991768,9.210000038,9.449999809,129400,19/12/2013
APO,17.31999969,17.75,12.09051323,17.31999969,17.96999931,430700,26/05/2011
AHH,9.350000381,9.520000458,7.139480591,9.300000191,9.600000381,159000,20/12/2013
PEZ,25.25,25.42000008,23.54432297,25.20000076,25.44000053,10800,12/10/2006
APO,17.84000015,18.19000053,12.39022446,17.79999924,18.48999977,622800,27/05/2011
AHH,9.5,9.470000267,7.101982594,9.409999847,9.600000381,118600,23/12/2013
APO,18.04999924,18.02000046,12.27442455,17.89999962,18.18000031,329100,31/05/2011
AHH,9.409999847,9.5,7.124481201,9.300000191,9.550000191,46700,24/12/2013
AHH,9.350000381,9.390000343,7.162620544,9.18999958,9.399999619,98400,26/12/2013
AHH,9.369999886,9.359999657,7.139737606,9.25,9.430000305,148600,27/12/2013
AHH,9.329999924,9.100000381,6.941411495,9.079999924,9.380000114,167100,30/12/2013
AHH,9.159999847,9.279999733,7.078713417,9.010000229,9.319999695,182700,31/12/2013
AHH,9.25,9.529999733,7.269412041,9.25,9.600000381,55000,2/01/2014
AHH,9.510000229,9.510000229,7.25415659,9.380000114,9.800000191,57100,3/01/2014
AHH,9.569999695,9.699999809,7.399086475,9.520000458,9.789999962,66300,6/01/2014
AHH,9.800000191,9.789999962,7.467738628,9.579999924,9.920000076,55800,7/01/2014
AHH,9.729999542,9.840000153,7.505877972,9.710000038,9.880000114,82700,8/01/2014
AHH,9.920000076,9.949999809,7.589786053,9.75,10.15999985,626400,9/01/2014
AHH,9.979999542,9.760000229,7.444851398,9.670000076,9.979999542,81900,10/01/2014
AHH,9.68999958,9.720000267,7.414341927,9.550000191,9.770000458,129000,13/01/2014
AHH,9.739999771,9.979999542,7.612667561,9.699999809,10,72600,14/01/2014
AHH,9.920000076,10.10000038,7.704204082,9.909999847,10.13000011,98600,15/01/2014
AHH,10.11999989,9.729999542,7.421970844,9.569999695,10.11999989,96800,16/01/2014
AHH,9.699999809,9.5,7.246528149,9.489999771,9.800000191,167500,17/01/2014
AHH,9.550000191,9.43999958,7.200760841,9.359999657,9.579999924,125500,21/01/2014
AHH,9.470000267,9.529999733,7.269412041,9.380000114,9.550000191,136100,22/01/2014
AHH,9.489999771,9.670000076,7.376201153,9.449999809,9.699999809,82100,23/01/2014
AHH,9.579999924,9.409999847,7.177876472,9.319999695,9.640000343,132100,24/01/2014
AHH,9.380000114,9.329999924,7.116851807,9.25,9.399999619,67700,27/01/2014
AHH,9.369999886,9.289999962,7.086342335,9.25,9.449999809,178200,28/01/2014
AHH,9.239999771,9.079999924,6.926155567,9.050000191,9.270000458,152100,29/01/2014
AHH,9.180000305,9.180000305,7.002436161,9.140000343,9.25,165600,30/01/2014
AHH,9.029999733,9.100000381,6.941411495,9,9.180000305,77700,31/01/2014
AHH,9.109999657,8.899999619,6.788851261,8.869999886,9.140000343,114700,3/02/2014
AHH,8.979999542,9.090000153,6.933784008,8.970000267,9.149999619,121100,4/02/2014
AHH,9.069999695,8.890000343,6.781225681,8.880000114,9.069999695,76000,5/02/2014
AHH,8.899999619,8.93999958,6.819364548,8.899999619,9,53500,6/02/2014
AHH,8.970000267,8.850000381,6.750713348,8.850000381,8.979999542,104700,7/02/2014
AHH,8.869999886,8.899999619,6.788851261,8.779999733,8.909999847,72700,10/02/2014
AHH,8.909999847,9.06000042,6.910899639,8.909999847,9.18999958,74800,11/02/2014
AHH,9.100000381,9.010000229,6.872758865,8.949999809,9.100000381,170900,12/02/2014
AHH,9,9.020000458,6.880389214,8.949999809,9.050000191,300600,13/02/2014
AHH,9.039999962,9.090000153,6.933784008,8.970000267,9.149999619,365300,14/02/2014
AHH,9.130000114,9.31000042,7.101597309,9.039999962,9.359999657,47400,18/02/2014
AHH,9.239999771,9.319999695,7.109224319,9.149999619,9.359999657,86900,19/02/2014
AHH,9.279999733,9.520000458,7.26178503,9.279999733,9.569999695,52500,20/02/2014
AHH,9.550000191,9.649999619,7.360946655,9.470000267,9.789999962,86200,21/02/2014
AHH,9.710000038,9.699999809,7.399086475,9.640000343,9.779999733,81700,24/02/2014
AHH,9.699999809,9.720000267,7.414341927,9.600000381,9.75,60400,25/02/2014
AHH,9.75,9.859999657,7.521133423,9.699999809,9.909999847,53400,26/02/2014
AHH,9.899999619,9.869999886,7.528759956,9.739999771,9.899999619,52000,27/02/2014
AHH,9.890000343,9.789999962,7.467738628,9.659999847,9.949999809,92600,28/02/2014
AHH,9.68999958,9.93999958,7.582155704,9.68999958,10,95800,3/03/2014
AHH,10.01000023,10,7.627923489,9.909999847,10.14999962,120800,4/03/2014
AHH,10.06999969,10.19999981,7.780482769,10.05000019,10.30000019,66900,5/03/2014
AHH,10.17000008,10.06999969,7.68131876,10,10.23999977,57100,6/03/2014
AHH,10.13000011,10.05000019,7.666063309,9.899999619,10.30000019,81300,7/03/2014
AHH,10.06999969,10.09000015,7.696576118,9.920000076,10.15999985,42600,10/03/2014
AHH,10.06999969,9.960000038,7.597411156,9.819999695,10.06999969,29600,11/03/2014
AHH,9.970000267,10.10000038,7.704204082,9.970000267,10.18000031,59800,12/03/2014
AHH,10.10000038,10.14999962,7.742343426,10.02999973,10.35000038,111700,13/03/2014
AHH,10.10000038,10.40999985,7.940668583,10.10000038,10.44999981,176700,14/03/2014
AHH,10.48999977,10.40999985,7.940668583,10.38000011,10.48999977,47300,17/03/2014
AHH,10.43000031,10.56999969,8.062714577,10.43000031,10.63000011,148600,18/03/2014
AHH,10.60000038,10.43999958,7.963553905,10.42000008,10.64999962,108900,19/03/2014
